Manufacturer;StockName;LabelWidth;LabelHeight;PaperWidth;PaperHeight;NumberOfRows;NumberOfColumns;HorizontalGap;VerticalGap;LeftMargin;TopMargin
Agipa;119002 Multi-Usage;4.1341;1.5349;8.2677;11.6929;2;7;0.0000;0.0000;0.0000;0.4718
Agipa;119003 Multi-Usage;4.1341;2.7559;8.2677;11.6929;2;4;0.0000;0.0000;0.0000;0.3348
Agipa;119005 Multi-Usage;4.1341;1.3779;8.2677;11.6929;2;8;0.0000;0.0000;0.0000;0.3348
Agipa;119006 Multi-Usage;2.7561;1.3779;8.2677;11.6929;3;8;0.0000;0.0000;0.0000;0.3348
Agipa;119008 Multi-Usage;4.1341;1.6539;8.2677;11.6929;2;7;0.0000;0.0000;0.0000;0.1148
Agipa;119012 Multi-Usage;4.1341;1.4569;8.2677;11.6929;2;8;0.0000;0.0000;0.0000;0
Agipa;119013 Multi-Usage;4.1341;2.2439;8.2677;11.6929;2;5;0.0000;0.0000;0.0000;0.2358
Agipa;119014 Multi-Usage;4.1341;5.8459;8.2677;11.6929;2;2;0.0000;0.0000;0.0000;0
Agipa;119015 Multi-Usage;2.7561;1.4569;8.2677;11.6929;3;8;0.0000;0.0000;0.0000;0
Agipa;119030 Multi-Usage;2.7561;1.2199;8.2677;11.6929;3;9;0.0000;0.0000;0.0000;0.3538
Agipa;119031 Multi-Usage;2.7561;1.2199;8.2677;11.6929;3;9;0.0000;0.0000;0.0000;0.3538
Agipa;119063 Laser;2.7559;1.6539;8.2677;11.6929;3;7;0.0000;0.0000;0.0000;0.1148
Agipa;119065 Special Laser;4.1339;1.6539;8.2677;11.6929;2;7;0.0000;0.0000;0.0000;0
Agipa;119080 Ink Jet Laser;2.4999;1.4999;8.2677;11.6929;3;7;0.0990;0.0000;0.2848;0.5118
Agipa;119081 Burotic;2.4999;1.8349;8.2677;11.6929;3;6;0.0985;0.0000;0.0278;0.0348
Agipa;119082 Ink Jet Laser;3.9019;1.3349;8.2677;11.6929;2;8;0.0979;0.0000;0.1828;0.5118
Agipa;119083 Ink Jet Laser;3.9019;1.4999;8.2677;11.6929;2;7;0.0979;0.0000;0.1828;0.5118
Agipa;119084 Burotic;2.4999;2.8349;8.2677;11.6929;3;4;0.0985;0.0000;0.0278;0.0198
Agipa;119085 Ink Jet Laser;3.9019;2.6649;8.2677;11.6929;2;4;0.0979;0.0000;0.1828;0.5118
Agipa;119098 Laser;1.9689;0.7869;8.2677;11.6929;4;14;0.0000;0.0000;0.1968;0.5121
Agipa;119099 Laser;2.1649;1.1809;8.2677;11.6929;3;9;0.3945;0.0000;0.4918;0.5121
Agipa;119602 Ink Jet Laser;1.9689;0.7869;8.2677;11.6929;4;14;0.0000;0.0000;0.1964;0.5121
Agipa;119603 Ink Jet Laser;1.9689;0.9839;8.2677;11.6929;4;11;0.0000;0.0000;0.1972;0.5121
Agipa;119606 Ink Jet Laser;2.5589;1.5749;8.2677;11.6929;3;7;0.0000;0.0000;0.2952;0.5121
Agipa;119608 Ink Jet Laser;3.9369;1.9689;8.2677;11.6929;2;5;0.0000;0.1567;0.1969;0.5121
Agipa;119622 Media;4.7239;0.6299;8.2677;11.6929;1;16;0.0000;0.0000;1.7639;0.5121
Agipa;119623 Media;3.5039;1.6139;8.2677;11.6929;2;7;0.0000;0.0000;0.6209;0.1971
Agipa;119650 Diskette;2.7559;2.8309;8.2677;11.6929;2;4;1.3378;0.0000;0.7089;0.1851
Agipa;119715 Laser;2.4999;1.4999;8.2677;11.6929;3;7;0.0989;0.0000;0.2849;0.5121
Agipa;119716 Laser;2.4999;1.8349;8.2677;11.6929;3;6;0.0989;0.0000;0.2849;0.5121
Agipa;119717 Laser;3.9019;1.3349;8.2677;11.6929;2;8;0.0978;0.0000;0.1829;0.5121
Agipa;119718 Laser;3.9019;1.4999;8.2677;11.6929;2;7;0.0978;0.0000;0.1829;0.5121
Agipa;119719 Laser;3.9019;2.6649;8.2677;11.6929;2;4;0.0980;0.0000;0.1829;0.5121
AOne;28171 Address;3.5511;1.6651;8.2677;11.6929;2;6;0.0989;0.0000;0.6498;0.7871
AOne;28173 Address;3.7991;1.7521;8.2677;11.6929;2;5;0.0989;0.0000;0.2758;0.9171
AOne;28175 Address;3.2991;1.6651;8.2677;11.6929;2;6;0.1509;0.0000;0.7988;0.7871
AOne;28177 Address;3.5041;1.8901;8.2677;11.6929;2;5;0.0789;0.0000;0.3938;0.9841
AOne;28179 Address;3.3071;1.6541;8.2677;11.6929;2;6;0.0800;0.0000;0.7867;0.9061
AOne;28181 Address;3.2519;1.4021;8.2677;11.6929;2;7;0.0990;0.0000;0.7987;0.7091
AOne;28183 Address;3.2989;1.6651;8.2677;11.6929;2;6;0.1500;0.0000;0.7597;0.8461
AOne;28185 Address;2.7559;1.6651;8.2677;11.6929;3;6;0.0000;0.0000;0.0000;0.8461
AOne;28187 Address;3.3069;1.6541;8.2677;11.6929;2;6;0.0800;0.0000;0.7867;0.8861
AOne;28189 Address;3.2678;1.4171;8.2677;11.6929;2;7;0.0780;0.0000;0.8267;0.9841
AOne;28204 Address;1.652;2.9220;8.2677;11.6929;5;4;0.0000;0.0000;0.0000;0
AOne;28311 Address;3.3068;1.6541;8.2677;11.6929;2;6;0.1971;0.0000;0.5906;0.5911
AOne;28313 Address ;3.3068;1.8901;8.2677;11.6929;2;5;0.0801;0.0000;0.7866;0.9842
AOne;28315 Address;2.5198;1.3351;8.2677;11.6929;3;7;0.0000;0.0000;0.2756;0.9252
